Alter's Gem	Tel : (409) 861-3005	
Amara Day Spa	Tel : (801) 226-2300	
Amazing Grace	Tel : (580) 677-9200	
Ambiance - Haight St.	Tel : (415) 552-5095	
Ambiance - Union St.	Tel : (415) 923-9796	
Amendolaro	Tel : (570) 871-4643	
Anchored in Pink	Tel : (401) 619-3928	
Angelina	Tel : (847) 882-6802	
Anjali Pollach Design	Tel : (212) 579-5570	
Anna Cate Jewelry	Tel : (256) 858-1478	
Annie's Baldoria - Salem	Tel : (603) 898-1778	
Anthem Home	Tel : (415) 440-6500	
Apple Annie's Gift Shop	Tel : (601) 942-9915	
Apple's LTD	Tel : (601) 795-4546	
Argento Jewelry	Tel : (772) 223-5552	
Arizona Biltmore	Tel : (602) 955-6600	
Articles	Tel : (505) 298-6700	
Ash Boutique	Tel : (785) 215-6114	
Ashley Austin	Tel : (610) 925-5900	
Ashley's Attic	Tel : (979) 542-4345	
Atchison's	Tel : (806) 894-8655	
Atlanta West Jewelers	Tel : (770) 489-8600	
Audacious Boutique		
Aurora Jewelers		
Avenue Jewelers	Tel : (920) 731-4740	
Azure	Tel : (920) 347-2720	
BOT Boutique 	Tel : (850) 215-0212	
Back Down South	Tel : (270) 670-2880	
Bangles & Diamonds	Tel : (781) 990-1858	
Baribault Jewelers	Tel : (860) 633-1727	
Barn Door Boutique	Tel : (423) 803-2300	
Baubelles Boutique	Tel : (441) 293-2359	
Bay Club Financial District	Tel : (415) 362-7800	
Bay Club Golden Gateway	Tel : (415) 433-2936	
Bay Club San Francisco	Tel : (415) 433-2200	
Bay Club Silicon Valley	Tel : (408) 402-7600	  
Bayou Belle's Boutique	Tel : (901) 504-8511	  
Beard Fine Jewelers	Tel : (936) 637-2848	
Beau Kisses	Tel : (281) 395-4445	
Beau Kisses Austin	Tel : (512) 249-5100	
Beau Rivage Resort & Casino	Tel : (702) 692-1211	
Beautiful Things	Tel : (860) 432-9005	
Becky Beauchine Kulka (BBK)	Tel : (517)347-4000	
Bejeweled	Tel : (956) 712-9090	
Bella Boutique - Helena		
Bella Boutique - Little Rock	Tel : (501) 603-5373	
Bella Bridesmaid - Baton Rouge	Tel : (225) 246-2106	
Bella Bridesmaid - Charlotte	Tel : (704) 817-7547	
Bella Bridesmaid - Kansas City	Tel : (816) 361-5700	
Bella Bridesmaid - Lafayette	Tel : (337) 456-8080	
Bella Bridesmaid - Little Rock	Tel : (407) 432-7787	
Bella Bridesmaid - Palm Beach	Tel : (561) 345-3463	
Bella Bridesmaid - San Antonio	Tel : (210) 804-1000	
Bella Bridesmaid - Scottsdale		
Bella Bridesmaid - Scottsdale		
Bella Bridesmaid - Seattle	Tel : (206) 728-5965	
Bella Bridesmaid - Shreveport	Tel : (318) 698-0075	
Bella Bridesmaid Nashville		
Bella Bridesmaid San Antonio	Tel : (210) 804-1000	
Bella Bridesmaids Kansas City	Tel : (913) 338-1901	
Bella Luna	Tel : (706) 295-1515	
Bella Mar Boutique	Tel : (228) 344-3234	
Bella's House	Tel : (918) 938-8992	
Belle & Co	Tel : (252) 291-8869	
Belle Vogue Bridal	Tel : (913) 317-8981	
Ben David Jewelers	Tel : (434) 792-6561	
Benjamin's of Hickory	Tel : (828) 437-7272	
Bette Boutique	Tel : (828) 232-7211	
Bev & Co	Tel : (607) 749-2148	
Bev & Co - Ithaca	Tel : (607) 319-0643	
Bevello	Tel : (919) 890-0842	
Bevello Arlington Village	Tel : (252) 756-3090	
Bevello Armitage	Tel : (773) 857-1910	
Bevello Birkdale Village	Tel : (704) 896-1329	
Bevello Blakeney	Tel : (704) 542-0504	
Bevello Cameron Village	Tel : (919) 821-0884	
Bevello Chapel Hill	Tel : (919) 960-5171	
Bevello Charlottesville	Tel : (434) 244-0811	
Bevello City Centre	Tel : (713) 827-7711	
Bevello Crabtree	Tel : (919) 785-2898	
Bevello Cross Creek	Tel : (910) 764-7784	
Bevello Deer Park	Tel : (847) 847-1879	
Bevello Domain	Tel : (512) 491-8114	
Bevello Fayette Mall	Tel : (859) 271-6680	
Bevello Forum	Tel : (470) 375-5763	
Bevello Friendly Center	Tel : (336) 907-3200	
Bevello Greenville	Tel : (864) 252-4134	
Bevello Hamilton Corner	Tel : (423) 485-3334	
Bevello King Street	Tel : (843) 410-1484	
Bevello La Cantera	Tel : (210) 437-2747	
Bevello Legacy	Tel : (972) 473-7850	
Bevello Midtown Village	Tel : (205) 345-6687	
Bevello Mosaic	Tel : (703) 712-8265	
Bevello Naperville	Tel : (331) 472-4221	
Bevello Oxmoor	Tel : (502) 890-4335	
Bevello Phillips Place	Tel : (704) 643-5551	
Bevello Quarry Village	Tel : (210) 334-0320	
Bevello Rice Village	Tel : (281) 888-7617	
Bevello Short Pump	Tel : (804) 364-3442	
Bevello Snider Plaza	Tel : (469) 759-6470	
Bevello Summit	Tel : (205) 235-2321	
Bevello Thruway	Tel : (336) 722-6470	
Bevello Trenholm Plaza	Tel : (803) 814-1525	
Bevello Virginia Beach	Tel : (757) 321-2879	
Bevello Wilmington	Tel : (910) 256-6664	
Black Hawk Country Club	Tel : (281) 340-7200	
Blanka Boutique	Tel : (925) 360-4570	
Bless Your Heart	Tel : (210) 651-1000	
Bleu		
Bling	Tel : (620) 874-1169	
Bling - Hays	Tel : (785) 621-4761	
Bling - Manhattan	Tel : (785) 587-8775	
Bling - Scott City		
Bling - Wichita	Tel : (316) 252-8429	
Bling Hawthorne Plaza	Tel : (913) 498-8565	
Bling Inc. Garden City	Tel : (620) 874-1169	
Bliss Boutique	Tel : (580) 916-2560	
Bliss On Main	Tel : (979) 885-6690	
Blossoms	Tel : (270) 689-2229	
Blue Daisy Gift Shop - Pangaea Outpost		
Blue Eyed Girl - Brea	Tel : (949) 533-6022	
Blue Eyed Girl - Irvine	Tel : (949) 533-6022	
Blue Eyed Girl - Laguna Beach	Tel : (949) 533-6022	
Blue Eyed Girl - Laguna Niguel	Tel : (949) 533-6022	
Blue Eyed Girl - Newport Beach	Tel : (949) 533-6022	     
Blue Water Jewelers	Tel : (904) 829-5855	
Blush Boutique	Tel : (803) 520-0643	
Blush Bridal	Tel : (512) 407-9236	
Blush Bridal Boutique - Lincoln	Tel : (402) 261-5615	
Blush This Salon	Tel : (512) 259-9899	
Borsheim's Fine Jewelry & Gifts	Tel : (402) 391-0400	  
Boulevard Bride	Tel : (636) 561-4030	
Boutique 206	Tel : (405) 697-6190	
Boutique MariMac	Tel : (731) 641-1390	
Brazos Ave Market	Tel : (512) 869-7415	
Brazos Avenue Market	Tel : (979) 345-2874	
Brazos Avenue Market - Angleton	Tel : (979) 549-1423	
Brazos Avenue Market - Lake Jackson		
Brianne's Boutique	Tel : (317) 888-8995	
Brooks Collection Fine Jewelry	Tel : (662) 259-2886	
Brother's on the Blvd	Tel : (337) 984-7749	
Brown Eyed Girl	Tel : (251) 626-8446	
Brownlee Jewelers Arboretum	Tel : (704) 542-8691	
Brownlee Jewelers Rivergate	Tel : (980) 225-9681	
Brownlee Jewelers Rock Hill	Tel : (803) 324-5292	
Brownlee Jewelers Uptown	Tel : (704) 374-0100	
Burkett's	Tel : (425) 252-2389	
Button Up Boutique		
By-Request	Tel : (479) 442-7525	
C Sterling Jewelers	Tel : (419) 897-9131	
C'est Chic!	Tel : (512) 609-8728	
C. Jane	Tel : (512) 236-1435	  
Cabochon	Tel : (858) 454-8798	
Candy Apple	Tel : (504) 304-8840	
Caniche	Tel : (704) 638-5522	
Canopy Blue		
Cantrell's Jewelry		
Cara's Boutique	Tel : (440) 899-0050	
Carter's Jewel Chest	Tel : (870) 425-7070	
Casa Authentique	Tel : (325) 673-1190	
Cathy Cook Jewelry	Tel : (409) 769-9592	
Cayman's Clothiers Inc	Tel : (405) 360-3969	
Ce'leste	Tel : (909) 867-0014	
Centerpiece Boutique	Tel : (301) 934-3333	
Cha Boutique	Tel : (314) 933-8080	
Cha Boutique - Columbia		
Chalet		
Charlotte Shoppe - Sinking Springs	Tel : (610) 678-4800	
Charlotte's Web	Tel : (423) 266-4022	
Charm and Chain		
Charmed Boutique	Tel : (815) 842-0391	
Chel Bella	Tel : (781) 749-1219	
Cheri Amour	Tel : (716) 754-8675	
Cherokee Yacht Club	Tel : (918) 852-0313	
Chez Weenie	Tel : (870) 633-8100	
Chic Chateau Interiors	Tel : (958) 449-1213	
Christina Lynn's	Tel : (251) 210-6060	
Christopher's Boutique of Circleville	Tel : (740) 412-2855	
Christy's Corner	Tel : (817) 562-5111	
Cita's Boutique	Tel : (956) 412-4055	
Cita's Boutique - Brownsville	Tel : (956) 412-4055	
Cita's Boutique - Harlingen		
Claude Julian's Clothing Co	Tel : (662) 289-2482	
Closet Boutique	Tel : (609) 368-7400	
Coast - Carmel	Tel : (831) 250-5574	
Coastal Closet		
Cobblestone Cottage		
Cole & Company	Tel : (903) 592-8585	
Collage Boutique - Brookhaven	Tel : (404) 736-6424	
Collage Boutique - Marietta	Tel : (770) 321-5777	
Collections Retail Store at Omni Dallas Hotel	Tel : (214) 652-4809	
Conrad NY Hotel	Tel : (212) 945-0100	
Continuum	Tel : (407) 333-8888	
Coreopsis	Tel : (254) 300-4923	
Cornell Jeweler's		
Cotton Castle	Tel : (575) 392-5441	
Court & Layne	Tel : (225) 485-1684	
Courtside Club	Tel : (408) 395-7111	
Couture House	Tel : (281) 863-9542	
Crave Boutique		
Crinzi & Gullo Jewelers	Tel : (716) 662-8260	
Crow's Nest		
Crush	Tel : (617) 424-0010	
Cummings Carousel	Tel : (620) 225-7935	
D Squared	Tel : (606) 398-4190	
D Squared - Flowood		
DFW Events	Tel : (469) 855-9142	
DKM Accessories	Tel : (813) 902-0044	
Daisy Designs	Tel : (201) 867-8394	
Daisy Lane Gifts	Tel : (256) 325-2704	
Daisy Village	Tel : (580) 327-4702	  
Dandy Home and Ranch	Tel : (928) 302-2120	
Darien Sport Shop	Tel : (203) 202-9853	
Darling Pharmacy	Tel : (870) 523-5887	
David Kelley Jewelers	Tel : (901) 465-4838	
Dazzle	Tel : (901) 755-8393	
De Ma Fille Bridal		
Debra Herring Studio	Tel: (503) 375-3750	
Delaware North		
Dennis & Company	Tel : (850) 226-4380	
Desert Mountain Club	Tel : (480) 595-4014	
Design In The City	Tel : (816) 746-5544	  
Design In The City - South	Tel : (816) 746-5544	
Designer Blvd	Tel : (480) 988-6525	
Destin Threads	Tel : (850) 837-8750	
Details - Haymarket	Tel : (703) 754-0000	
Details Boutique	Tel : (303) 703-3884	
Diann's Boutique	Tel : (973) 584-3848	
Dimensions	Tel : (713) 780-8564	
Diplomat Hollywood	Tel : (954) 602-6000	
Diva Divine	Tel : (480) 585-2570	
Divalani Style		
Dorothy May's by Alspaugh's - Galveston		
Dorothy May's by Alspaugh's - Kingwood		
Double Diamond Shoes - Park City 		
Double Diamond Shoes - Vail	Tel : (970) 476-5500	
Dream Jewelers	Tel : (920) 235-8610	
Dress & Dwell	Tel : (812) 725-7566	
E. Leigh's	Tel : (501) 205-0749	
East Lansing Threads	Tel : (850) 687-5399	
Eastport's Little Secret	Tel : (631) 801-2806	
Eccentrics Boutiqe	Tel : (618) 681-2177	
Elevation	Tel : (802) 332-6380	
Elizabeth Lee	Tel : (508) 358-7788	
Elizabeth's Shoes & Accessories	Tel : (607) 773-8131	
Ellie Bee's	Tel : (903) 758-0300	
Embella's	Tel : (717) 545-3771	
Embellas - Hershey	Tel : (717) 805-7126	
Embellish Home	Tel : (520) 512-5200	
Embellish Nails & Boutique	Tel : (512) 328-9898	
Embellish Nails & Boutique: Anderson	Tel : (512) 452-7465	  
Emerson Rose	Tel : (832) 538-1487	
Emma Laura	Tel : (478) 272-2095	
English Rose	Tel : (806) 358-7673	
Ensemble	Tel : (617) 455-8711	
Envie Boutique	Tel : (850) 428-0174	
Eric's Diamonds		
Erin & Co.	Tel : (601) 695-4107	
Essentials on Park Lane		
Est8te	Tel : (865) 588-1588	
FLEA	Tel : (231) 631-2580	
Fabulous Finds	Tel : (910) 483-0733	
Fairmont - The Grand Del Mar		
Fairmont Scottsdale Princess Resort	Tel : (480) 585-4848	
Fairmont Stores - Jasper	Tel : (403) 678-6866	
Faith & Flair		
Faith & Flair - Breckenridge	Tel : (501) 620-4009	
Fancy That	Tel : (928) 445-1883	
Farm House Funk & Junk	Tel : (936) 994-8670	
Feldstein Jewelers	Tel : (715) 735-6913	
Field & Finch - Le Claire	Tel : (563) 370-4899	
Five & Company		
Five & Company - OKC	Tel : (405) 397-4500	
Five Fish	Tel : (727) 485 8660	
Flaunt Boutique - Smithfield	Tel : (401) 949-4849	
Flock	Tel : (617) 391-0222	
Fly Boutique		
Food Pantry - Accents Hawaii Prince Hotel	Tel : (808) 956-1111	
Food Pantry - Accents InterContinental Boston	Tel : (617) 747-1000	
Food Pantry Accents	  	
Food Pantry - Accents Hilton Disney	Tel : (407) 828-8772	
Food Pantry - Accents Hyatt Orlando	Tel : (407) 238-1288	   
Food Pantry - Accents Disney Swan Hotel		
Food Pantry Resorts - Accents Intercontinental		
Food Pantry Resorts - Accents JW Marriott	  	
Food Pantry - Accents Phoenician	Tel : (480) 941-8200	
Food Pantry Resorts - Accents Royal Palm	Tel : (305) 604-5700	
Food Pantry - Accents Sheraton Chicago	Tel : (312) 245-9130	
Food Pantry Resorts - Accents Wailea Marriott		
Food Pantry Resorts - Accents Westin Times Square	Tel : (212) 201-2700	
Food Pantry Resorts - Beverly Hilton Accents	Tel : (310) 274-7777	  
Food Pantry - Lamonts Hyatt Coconut Point	Tel : (239) 495-7358	
Food Pantry Resorts - Lamonts Hyatt Lost Pines		
Food Pantry Resorts - Shops at Kukui'ula		
Food Pantry Resorts - The Palace Collection	Tel : (415) 348-1890	
Food Pantry Resorts - Wakiki Beach Marriott Resort & Spa		
Food Pantry Resorts - Westin Moana Surfrider Hotel		
For Posh Sake	Tel : (804) 569-2713	
Formally Yours	Tel : (770) 923-5800	
Fortuity - Lawrence	Tel : (913) 491-5059	
Fortuity - Manhattan	Tel : (785) 532-9140	
Four Seasons - Boston	Tel : (617) 338-4400	
Four Seasons - Chicago	Tel : (312) 280-8800	
Four Seasons - Las Colinas Pro Shop		
Four Seasons - Las Vegas	Tel : (702) 632-5000	
Four Seasons - Miami	Tel : (305) 358-3535	
Four Seasons - Scottsdale	Tel : (480) 515-5700	
Four Seasons - St. Louis	Tel : (314) 881-5800	
Frankie's On The Park		
Freckles Chic	Tel : (870) 404-2639	
Fred	Tel : (203) 344-9533	
Free Reign Boutique	Tel : (610) 825-0100	
Frick & Frack	Tel : (973) 696-8266	
Frills on Fourth	Tel : (512) 352-5518	
Front Door Fashion	Tel : (469) 351-7144	
Gabrielle's		
Gal Fashion	Tel : (915) 300-0010	
Gamine	Tel : (937) 294-7465	
Garmany	Tel : (732) 576-8500	
Gaudie & Co	Tel : (409) 729-2790	
Gaudie & Co	Tel : (409) 860-4433	
Gayle's		
Gayle's Jewelers	Tel : (985) 732-9751	
Geraniums Boutique	Tel : 304-344-1350	
Get Personal Too	Tel : (281) 493-4611	
Gift & Gourmet	Tel : (830) 379-1242	
Gifted	Tel : (609) 918-9088	
Gifted by the Sea	Tel : (609) 342-0219	
Giganti Jewelry	Tel : (217) 793-3300	
Giggleswick	Tel : (662) 323-4438	
Gigi's Boutique	Tel : (843) 815-4450	
Gigi's Boutique	Tel : (931) 456-0003	
Gingers	Tel : (662) 286-2821	
Girlfriend's Flowers & Gifts	Tel : (620) 624-1649	
Glen Ivy Hot Springs	Tel : (888) 453-6489	
Glik's	Tel : (618) 876-6717	
Glitz Fine Clothing	Tel : (209) 664-9737	
Glow	Tel : (334) 770-4569	
Godwin Jewelers	Tel : (229) 246-7900	
Goffin's 64 Park	Tel : (201) 438-0265	
Gold Connection	Tel : (205) 487-4949	
Golden Nugget Lake Charles		
Goodman and Sons - Hampton	Tel : (757) 838-2328	
Goodman and Sons - Williamsburg	Tel : (757) 229-5388	
Gracie Grey Interiors	Tel : (575) 964-2205	
Grand Hyatt Kauai Resort		
Grand Wailea	Tel : (808) 875-1234	
Greetings & Readings	Tel : (410) 771-3022	
Grigsby's Boutique	Tel : (325) 949-0610	
Griner Jewelry	Tel : (229) 985-3700	
H Squared	Tel : (662) 843-4504	
Hallie B	Tel : (972) 971-4191	
Halls	Tel : (816) 274-4538	
Hamilton Jewelers	Tel : (903) 572-8361	
Harley's	Tel : 979-693-0995	  
Harris Jeweler	Tel : (937) 335-0055	
Harrison's Dept Store	Tel : 870-853-5294	
Haymore Garden Center	Tel : (434) 836-1722	
Heaven & Earth	Tel : (570) 573-3701	
Hello Beautiful Boutique		
Henri's Cloud Nine	Tel : (800) 952-3560	
Henry & Pearl	Tel : (770) 777-9171	
Henry's Trading Post	Tel : (609) 398-4238	
Her Hide Out	Tel : (484) 973-6333	
Heritage House Gifts	Tel : (228) 897-7644	
Herringstone's Two Sisters' Monroe	Tel : 318-372-4351	
Herry's Clothes Closet	Tel : (706) 543-0702	
Hill's In-House Jewelers	Tel : (601) 649-7735	
Hilltop House Bridal and Gift Boutique	Tel : (731) 285-6810	
Hilton Waikoloa Village		
Hissyfit's  - Dothan	Tel : (334) 677-1558	
Hissyfit's  - Rosemary Beach	Tel : (850) 231-0311	
Hissyfit's - Rosemary Beach		
Holidaze & Gifts	Tel : (972) 596-7695	
Holly & Brooks	Tel : (704) 661-5937	
Holly's	Tel : (515) 432-8606	
Holsted Marketing Inc		
Homestead	Tel : (979) 245-4663	
Honeysuckle & Home	Tel : (870) 595-2135	
Hotel Del Coronado	Tel : (619) 435-6611	
House of Lucky	Tel : (866) 709-2009	
I Elle Boutique	Tel : (707) 280-0508	
Ima's Fashion - Jackson	Tel : (731) 300-3768	
Ima's Fashion - Jonesboro	Tel : (870) 932-4019	
Ima's Fashion - Paragould	Tel : (870) 236-8523	
Indie	Tel : (479) 434-4467	
Indigeaux Denim Bar + Boutique	Tel : (850) 607-2255	
Indigo	Tel : (901) 755-6161	
Indigo		
Indigo Highway	Tel : (435) 214-7244	
Indigo Octopus	Tel : (443) 235-0758	
Infinity Jewelers		
Inspire Me	Tel : (574) 232-1798	
Irresistibles	Tel : (781) 631-8903	
Island Cabana	Tel : (941) 896-4946	
Island Hotel Newport Beach	Tel : (949) 760-4993	
Island Proper	Tel : (252) 646-7895	
Island Pursuit - Mystic	Tel : (941) 388-2849	
Island Pursuit - Newport	Tel : (941) 388-2849	
Island Pursuit - Sanibel	Tel : (941) 388-2849	
Island Pursuit - Sarasota	Tel : (941) 388-2849	
It's Retail Therapy	Tel : (803) 943-8464	
Ivy Lane	Tel : (770) 578-0506	
J. Hoffman's	Tel : (806) 797-8794 	
J. Lilly's Boutique		
J. Roberts	Tel : (575) 257-6945	
JW Marriott Lantana Spa	Tel : (210) 276-2300	
James & Leigh		
Jamiee's Boutique	Tel : (575) 791-7249	
Jenna Jane's Jewelry	Tel : (609) 492-2288	
Jennifer Miller	Tel : (212) 734-2299	
Jennifer's Country Cuts	Tel : (870) 696-3400	  
Jess Boutique	Tel : (802) 660-4004	
Jennifer's On Main	Tel : (319) 277-4880	
The Jewelry Gallery	Tel : (845) 429-2613	
Jewells Fine Jewelry	Tel : (540) 345-3564	
Joe Brand	Tel : (956) 722-0771	
Johnathan Michael's - Irwin	Tel : (724) 863-0722	
Johnathan Michael's - McMurray	Tel : (724) 863-0722	
Jongee's	Tel : (931) 836-2822	
"Joyus, Inc."	Tel : (415) 445-4195	
Jubilee Boutique	Tel : 228-872-6118	
Juli's Wearable Art	Tel : (814) 623-7216	
Julia Vogue - Bakersfield		
Julia Vogue Fashion Accessories LLC	Tel : (559) 448-0888	
Julia Vogue Fashion Accessories LLC - Blackstone		
Julian Gold - Midland		
Julian Gold - San Antonio	Tel : 210-824-2493	
Julian Gold- Corpus Christi	Tel : (361) 853-9974	
Julien's	Tel : (830) 278-8185	
Jumby Bay Gift Shop	Tel : (405) 922-6082	
June & Beyond	Tel : (417) 718-1717	
Juniper & Mae	Tel : (815) 878-4952	
K. Marie & Co	Tel : (707) 386-5731	
K. Pavolini Company	Tel : (228) 222-5268	
KK Bloom	Tel : (980) 428-6443	
KSL Resorts - Miraval		
KSL Resorts - The James Royal Palm	Tel : (786) 276-0313	
Karats & Keepsakes	Tel : (478) 471-6688	
Keeneland	Tel : (859) 254-3412	
Kelley Jewelers	Tel : (580) 772-3113	
Kelli Shop	Tel : (209) 384-0255	
Kelly Field's Boutique		
Kemah Boardwalk 		
Kiawah Fine Jewelry	Tel : (843) 768-5357	
Kicks		
Kim Moody Design	Tel : (434) 292-5005	
Kleinfeld Bridal	Tel : (646) 633-4369	
Knuth's	Tel : (216) 831-1116	
Kohala Bay Collections	Tel : (808) 293-2728	
Koser Jewelers	Tel : (717) 653-4941	
Koze	Tel : (415) 435-1916	
Kreations	Tel : (754) 400-8915	
Kreations - BCC	Tel : (786) 220-6012	
Kreations - Wellington	Tel : (954) 907-4727	
Krekeler Jewelers	Tel : (573) 756-3625	
La Belle Vita	Tel : (406) 721-2955	
La Chique Maison	Tel : (985) 665-4631	
La Di Da	Tel : (856) 222-1778	
La Quinta Resort & Club	Tel : (760) 564-8000	
La Ti Da Boutique	Tel : (330) 758-9900	
La Ville		
Lace Silhouettes Lingerie	Tel : (609) 898-7448	
Lansky Bro's - Peabody Hotel	Tel : (901) 525-5401	  
Lansky Bro's - Peabody Hotel	Tel : (901) 525-5401	  
Lasker Jewelers	Tel : (715) 835-5914	
Lasting Impressions	Tel : 936-598-6553	
Laura of Pembroke	Tel : (330) 477-4455	
Lavish		
Lavish Gift & Home	Tel : (310) 502-3675	
LavishlyHip	Tel : (413) 210-5113	
Lawrences	Tel : (817) 731-2772	
Layla Grace	Tel : (626) 356-2133	  
LavenderBlue	Tel : (609) 971-8880	
Leigh's	Tel : (616) 942-6300	  
Leela & Lavender	Tel : (701) 893-6453	
Leslie Jewelers	Tel : (501) 268-2340	
LewLew's	Tel : (931) 363-6375	
Lilac and Lilies	Tel : (954) 530-3109	   
Liles & Company	Tel : (580) 808-5354	
Lilie Alexander	Tel : (847) 234-5858	
Lilla & Beth	Tel : (512) 431-4976	
Lizzy G's Fine Gifts	Tel : (281) 251-5866	
Loeb's	Tel : (601) 482-4004	
Lola NY	Tel : (914) 358-1314	
Lolettas	Tel : (256) 489-8889	
Loli & The Bean	Tel : (850) 576-5654	  
The Loocke	Tel : (302) 741-2340	
Looking Glass		
Lorraine K	Tel : (203) 261-7556	
Louisiana Coin Exchange	Tel : (318) 869-3.472	
Louisiana Purcahses & Interiors	Tel : (318) 605-3593	
Love You Back	Tel : (704) 213-3913	
Lovely Paperie and Gifts	Tel : (216) 767-5277	
LSL Brands - Signatures	Tel : (609) 884-1434	
Lucca	Tel : (251) 224-4370	  
The Lucky Knot - Alexandra	Tel : (703) 549-1797	
Lucy Rose	Tel : 504-895-0444	
Luka	Tel : (956) 627-0640	
Lulu	Tel : (575) 523-4747	
Luxe Apothetique	Tel : (512) 346-8211	
Luxe Apothetique		
M & R Jewelers	Tel : (956) 971-1640	
M. Marie	Tel : (863) 318-9600	
M. Moose	Tel : (505) 325-7800	
MD Anderson Cancer Center	Tel : (713) 792-3228	
MGM - Maryland National Harbor		
MGM - Mirage Essentials	Tel : (702) 792-7762	
MGM Bellagio Spa	Tel : (702) 692-1210	
MGM Resorts - Bellagio Tutto	Tel : (702) 693-7762	
Ma Milles Gifts	Tel : (225) 892-1695	
Mabel and Zora	Tel : 503-241-5696	
Macy May	Tel : (936) 205-5911	
Madison's Closet	Tel : (501) 454-2999	  
Madison's on Main	Tel : (828) 488-3900	
Madrone Vineyards Estate		
Maggie Adams	Tel : (717) 730-2000	
Magnolias of Salado	Tel : (254) 947-0323	
Magpies Gifts	Tel : (281) 256-9777	
Magpies Gifts	Tel : (713) 661-9777	
Magpies on Sweetwater	Tel : (281) 277-9777	
Main & Gray	Tel : (803) 802-4663	
Makie Black Boutique	Tel : (806) 352-0552	
Malouf's	Tel : 806-794-9500	
Malouf's Southlake	Tel : (806) 794-9500	
Manhattan South	Tel : (205) 977-3871	
Marcelina's Boutique	Tel : (609) 729-7528	
Marella	Tel : (563) 556-3007	
Marion's	Tel : (727) 821-2345	
Mars Solutions - Resort de Pedegral Cabo		
Martha Rose Gifts & Home Decor	Tel: (573) 567-5050	
Martin Binder Jeweler	Tel: (219) 462-5931	
Mary & Mak Boutique	Tel : (855) 702-4323	
Mary Jane's - Estes Park	Tel : (970) 586-9034	
Mary Jane's - Steamboat Springs	Tel : (970) 879-7265	
Mary Jane's - Vail	Tel : (970) 476-7020	
Mary Jane's - Waikoloa	Tel : (808) 886-2707	
Material Girls	Tel : (601) 992-4533	
Material Girls - Flowood		
Material Girls - Hattiesburg		
Material Girls - Online		
Mathew's Jewelers	Tel : (409) 886-7233	
Mauna Kea Beach Hotel	Tel : (808) 882-7222	
Mauna Lani Bay Hotel & Bungalows	Tel : (808) 885-6622	
Maxwell James	Tel : (856) 795-0222	
Mays Street Boutique	Tel : (512) 248-2555	
McB's	Tel : (601) 450-6227	
McGinty Jewelers	Tel : (573) 335-6347	
Meig's Jewelry	Tel : (918) 456-6233	
Melly	Tel : (952) 929-9252	
Memory Makers	Tel : (434) 447-6200	
Meridian	Tel : (406) 652-9999	  
MGM Park - Las Vegas	Tel : (702) 730-7000	
Mia Bella's Boutique		
Mica & Molly's	Tel : (321) 821-4962	
Michele Jewelry Inc.	Tel : (979) 865-3941	
Millie Grace		
Milly & Grace	Tel : (508) 901-5051	
Mimi's Boutique		
Mimi's on Main	Tel : (662) 562-8261	
Mimosa Boutique		
Mingle	Tel : (225) 627-2165	
Minky Mink	Tel : (518) 926-7227	
Mod Cottage	Tel : (302) 227-7277	
Mode	Tel : (985) 892-0455	
Monkee's of Columbia	Tel : (803) 764-2890	
